Key Value id name level Width(0
craft stand_builder 15 building 4 0
craft sun_protection 15 building 4 0
craft handicraft 15 building 4 0
craft carpenter 15 building 4 0
craft upholsterer 15 building 4 0
craft basket_maker 15 building 4 0
craft optician 15 building 4 0
craft tinsmith 15 building 4 0
craft parquet_layer 15 building 4 0
craft hvac 15 building 4 0
craft key_cutter 15 building 4 0
craft sawmill 15 building 4 0
craft brewery 15 building 4 0
craft tiler 15 building 4 0
craft clockmaker 15 building 4 0
craft agricultural_engines 15 building 4 0
craft scaffolder 15 building 4 0
craft bookbinder 15 building 4 0
cycleway shared_lane 31 roads 3 2.5
cycleway opposite 31 roads 3 2.5
cycleway track 31 roads 3 0
cycleway share_busway 31 roads 3 2.5
cycleway opposite_track 31 roads 3 2.5
cycleway lane 31 roads 3 2.5
cycleway opposite_lane 31 roads 3 2.5
emergency ambulance_station 48 hostptial 2 0
golf fairway 22 golf_courses 1 0
golf bunker 22 golf_courses 1 0
golf green 22 golf_courses 1 0
highway track 86 agricutural_track 3 1
highway service 31 roads 3 2.5
highway motorway_link 82 motorway 3 15
highway services 90 road_rest_area 3 0
highway motorway_junction 89 junction 3 0
highway road 31 roads 3 3
highway tertiary 84 tertiary 3 6
highway living_street 31 roads 3 2.5
highway tertiary_link 84 tertiary 3 6
highway path 87 path 3 3
highway primary_link 82 motorway 3 15
highway pedestrian 31 roads 3 2.5
highway passing_place 87 path 3 0
highway residential 31 roads 3 2.5
highway mini_roundabout 89 junction 3 0
highway bus_guideway 85 bus_way 3 3
highway primary 82 motorway 3 15
highway motorway 82 motorway 3 15
highway raceway 31 roads 3 12
highway footway 31 roads 3 2
highway trunk 83 trunk 3 7.5
highway steps 88 steps 3 3
highway secondary 31 roads 3 3
highway cycleway 31 roads 3 2.5
highway rest_area 90 road_rest_area 3 0
highway secondary_link 31 roads 3 3
highway unclassified 31 roads 3 2.5
highway trunk_link 83 trunk 3 7.5
highway construction 246 road_construction 3 7.5
highway bus_stop 247 bus_stop 5 0
historic ruins 55 landmark 4 0
historic city_gate 55 landmark 4 0
