road_id road_name road_width road_id road_name road_width id name level radius
88 steps 3 112 railway_abandoned 1.5 223 steps_railabandoned 5 3.0
88 steps 3 113 rail_subway 1.5 224 steps_subway 5 3.0
88 steps 3 143 water_river 5 225 steps_water 5 5.0
88 steps 3 144 water_large_river 15 225 steps_water 5 5.0
88 steps 3 145 water_stream 3 225 steps_water 5 5.0
88 steps 3 146 water_canal 10 225 steps_water 5 5.0
110 railway 1.5 110 railway 1.5 226 railway_railway 5 1.5
110 railway 1.5 111 light_rail 1.5 227 railway_lightrail 5 1.5
110 railway 1.5 112 railway_abandoned 1.5 228 railway_railabandoned 5 1.5
110 railway 1.5 113 rail_subway 1.5 229 railway_subway 5 1.5
110 railway 1.5 143 water_river 5 230 railway_water 5 2.5
110 railway 1.5 144 water_large_river 15 230 railway_water 5 2.5
110 railway 1.5 145 water_stream 3 230 railway_water 5 2.5
110 railway 1.5 146 water_canal 10 230 railway_water 5 2.5
111 light_rail 1.5 111 light_rail 1.5 231 lightrail_lightrail 5 1.5
111 light_rail 1.5 112 railway_abandoned 1.5 232 lightrail_railabandoned 5 1.5
111 light_rail 1.5 113 rail_subway 1.5 233 lightrail_subway 5 1.5
111 light_rail 1.5 143 water_river 5 234 lightrail_water 5 2.0
111 light_rail 1.5 144 water_large_river 15 234 lightrail_water 5 2.0
111 light_rail 1.5 145 water_stream 3 234 lightrail_water 5 2.0
111 light_rail 1.5 146 water_canal 10 234 lightrail_water 5 2.0
112 railway_abandoned 1.5 112 railway_abandoned 1.5 235 railabandoned_railabandoned 5 1.5
112 railway_abandoned 1.5 113 rail_subway 1.5 236 railabandoned_subway 5 1.5
112 railway_abandoned 1.5 143 water_river 5 237 railabandoned_water 5 2.0
112 railway_abandoned 1.5 144 water_large_river 15 237 railabandoned_water 5 2.0
112 railway_abandoned 1.5 145 water_stream 3 237 railabandoned_water 5 2.0
112 railway_abandoned 1.5 146 water_canal 10 237 railabandoned_water 5 2.0
113 rail_subway 1.5 113 rail_subway 1.5 238 subway_subway 5 1.5
113 rail_subway 1.5 143 water_river 5 239 subway_water 5 2.0
113 rail_subway 1.5 144 water_large_river 15 239 subway_water 5 2.0
113 rail_subway 1.5 145 water_stream 3 239 subway_water 5 2.0
113 rail_subway 1.5 146 water_canal 10 239 subway_water 5 2.0
143 water_river 5 143 water_river 5 240 water_water 5 10.0
143 water_river 5 144 water_large_river 15 240 water_water 5 10.0
143 water_river 5 145 water_stream 3 240 water_water 5 10.0
143 water_river 5 146 water_canal 10 240 water_water 5 10.0
144 water_large_river 15 144 water_large_river 15 240 water_water 5 10.0
144 water_large_river 15 145 water_stream 3 240 water_water 5 10.0
144 water_large_river 15 146 water_canal 10 240 water_water 5 10.0
145 water_stream 3 145 water_stream 3 240 water_water 5 10.0
145 water_stream 3 146 water_canal 10 240 water_water 5 10.0
146 water_canal 10 146 water_canal 10 240 water_water 5 10.0
253 roads 2.5 253 roads 2.5 241 T_section 5 4.0
253 roads 2.5 252 roads 2.5 250 2_way 5 4.0
252 roads 2.5 252 roads 2.5 251 4_way 5 4.0
